Input,Time(s),BMC watt, Wattmeter watt
Expe/1P100_gpu_960_20_cho.txt,2.70327,240
Expe/1P100_cpu_960_20_cho.txt,102.476438,269.7142857142857
Expe/1P100_gpu_1920_30_cho.txt,25.004368,308
Expe/1P100_CPU_1920_N50,86397.710969,288.3833333333333
Expe/1P100_GPU_1920_N50,90.014399,342.3157894736842
Expe/2P100_1920_N50_cho,55.294546,382
Expe/1V100_1920_N50_cho.txt,58.966382,783,921.1433942244224
Expe/1A100_1920_N50_cho.txt,90.0,1471.6,1587.216983793984
Expe/A100_CPU_1920_N50,3.0,None,None
Expe/V100_CPU_1920_N50,2.0,None,None
Expe/P100_1GPU_2880_N50_CHO_ITER10.txt,2321.485266,382.60645161290324,0
Expe/P100_2GPU_2880_N50_CHO_ITER10.txt,1396.430987,454.9714285714286,0
Expe/P100_1GPU_2880_N50_MULT_ITER10.txt,130.042795,315.55555555555554,0
Expe/P100_2GPU_2880_N50_MULT_ITER10.txt,95.024898,327.6,0
Expe/V100_1GPU_2880_N50_CHO_ITER10.txt,1494.0,881.3959731543624,998.9887039838432
Expe/V100_2GPU_2880_N50_CHO_ITER10.txt,1190.0,1003.4430379746835,1134.2411038301143
Expe/A100_1GPU_2880_N50_CHO_ITER10.txt,1405.0,1494.6666666666667,1634.4654301096539
Expe/A100_2GPU_2880_N50_CHO_ITER10.txt,926.0,1540.746835443038,1672.3428332086714
Expe/V100_4GPU_2880_N50_CHO_ITER10.txt,917.0,999.1475409836065,1134.8455817103497
Expe/V100_8GPU_2880_N50_CHO_ITER10.txt,926.0,1018.8972972972973,1134.8034900169628
Expe/A100_4GPU_2880_N50_CHO_ITER10.txt,841.0,1568.7272727272727,1719.2159983032745
Expe/A100_8GPU_2880_N50_CHO_ITER10.txt,838.0,1581.0212765957447,1722.5296963918083
Expe/V100_8GPU_2880_N50_CHO_ITER10.txt,960.0,1065.1875,1209.549561630877
Expe/V100_1GPU_2880_N21_MULT_ITER10.txt,111.0,756,877.7764289321789
Expe/V100_2GPU_2880_N21_MULT_ITER10.txt,104.0,816,903.6136937950938
Expe/V100_4GPU_2880_N21_MULT_ITER10.txt,100.0,855,946.1815036533357
Expe/V100_8GPU_2880_N21_MULT_ITER10.txt,104.0,905.1428571428571,1038.0148013706132
Expe/A100_1GPU_2880_N21_MULT_ITER10.txt,152.0,1443,1588.0968054445968
Expe/A100_2GPU_2880_N21_MULT_ITER10.txt,96.0,1465.2857142857142,1579.2870671500139
Expe/A100_4GPU_2880_N21_MULT_ITER10.txt,94.0,1482,1610.4611871408192
Expe/A100_8GPU_2880_N21_MULT_ITER10.txt,109.0,1531.2631578947369,1655.8177542245135
Expe/P100_1GPU_1920_N50_CHO_ITER10.txt,3620.331877,359.6022099447514,0
Expe/P100_2GPU_1920_N50_CHO_ITER10.txt,1645.752838,436.43636363636364,0
Expe/P100_2GPU_2880_N21_MULT_ITER10.txt,95.025966,412.8,0
Expe/P100_1GPU_2880_N21_MULT_ITER10.txt,115.029958,343,0
